Census Tract FIPS,demand_covered,percentage,county_name,state_name
01001020200,1,100,Autauga,AL
01001021000,1,100,Autauga,AL
01001020100,0,0,Autauga,AL
01001020801,0,0,Autauga,AL
01001021100,1,100,Autauga,AL
01001020400,0,0,Autauga,AL
01001020600,1,100,Autauga,AL
01001020300,1,100,Autauga,AL
01001020900,1,84.06498985,Autauga,AL
01001020700,1,100,Autauga,AL
01001020500,1,100,Autauga,AL
01001020802,1,100,Autauga,AL
01003011408,0,2.85E-12,Baldwin,AL
01003011405,0,0,Baldwin,AL
01003011406,1,100,Baldwin,AL
01003011102,0,0,Baldwin,AL
01003011300,0,0,Baldwin,AL
01003011202,1,100,Baldwin,AL
01003010903,1,100,Baldwin,AL
01003010200,1,100,Baldwin,AL
01003010400,0,0,Baldwin,AL
01003010500,1,100,Baldwin,AL
01003011201,1,100,Baldwin,AL
01003010600,1,100,Baldwin,AL
01003011501,1,100,Baldwin,AL
01003010906,1,100,Baldwin,AL
01003010701,0,0,Baldwin,AL
01003011602,0,0,Baldwin,AL
01003011407,1,2.284958927,Baldwin,AL
01003011000,1,100,Baldwin,AL
01003010100,1,100,Baldwin,AL
01003010704,0,0,Baldwin,AL
01003010705,1,100,Baldwin,AL
01003010905,1,100,Baldwin,AL
01003010800,1,100,Baldwin,AL
01003011601,1,100,Baldwin,AL
01003010904,1,100,Baldwin,AL
01003011101,1,100,Baldwin,AL
01003011502,1,100,Baldwin,AL
01003010300,1,100,Baldwin,AL
01003011403,0,0,Baldwin,AL
01003010703,0,0,Baldwin,AL
01003011401,0,0,Baldwin,AL
01005950200,1,100,Barbour,AL
01005950700,1,100,Barbour,AL
01005950600,1,100,Barbour,AL
01005950300,1,100,Barbour,AL
01005950800,1,100,Barbour,AL
01005950400,1,100,Barbour,AL
01005950500,1,100,Barbour,AL
01005950900,1,100,Barbour,AL
01005950100,1,100,Barbour,AL
01007010001,1,100,Bibb,AL
01007010003,1,100,Bibb,AL
01007010002,1,100,Bibb,AL
01007010004,1,100,Bibb,AL
01009050200,1,100,Blount,AL
01009050601,1,100,Blount,AL
01009050400,1,100,Blount,AL
01009050300,1,100,Blount,AL
01009050500,1,100,Blount,AL
01009050101,1,100,Blount,AL
01009050602,1,100,Blount,AL
01009050700,1,100,Blount,AL
01009050102,1,100,Blount,AL
01011952100,1,100,Bullock,AL
01011952500,1,100,Bullock,AL
01011952200,1,100,Bullock,AL
01013952800,1,77.66064257,Butler,AL
01013953500,1,100,Butler,AL
01013953000,1,100,Butler,AL
01013953300,1,100,Butler,AL
01013952700,1,100,Butler,AL
01013953400,1,100,Butler,AL
01013952900,1,100,Butler,AL
01013953100,1,100,Butler,AL
01013953200,1,100,Butler,AL
01015981901,0,0,Calhoun,AL
01015981902,0,0,Calhoun,AL
01015981903,0,0,Calhoun,AL
01015001300,1,100,Calhoun,AL
01015000800,1,100,Calhoun,AL
01015000500,1,100,Calhoun,AL
01015000300,1,100,Calhoun,AL
01015000600,1,100,Calhoun,AL
01015001600,1,100,Calhoun,AL
01015000700,1,100,Calhoun,AL
01015002101,1,100,Calhoun,AL
01015002200,1,100,Calhoun,AL
01015002400,1,100,Calhoun,AL
01015000900,1,100,Calhoun,AL
01015002102,0,3.93E-13,Calhoun,AL
01015000200,1,100,Calhoun,AL
01015002600,0,0,Calhoun,AL
01015002300,1,100,Calhoun,AL
01015001201,1,100,Calhoun,AL
01015001202,1,100,Calhoun,AL
01015002502,1,100,Calhoun,AL
01015001400,1,100,Calhoun,AL
01015000400,1,100,Calhoun,AL
01015002103,1,100,Calhoun,AL
01015001100,1,100,Calhoun,AL
01015001500,1,100,Calhoun,AL
01015002000,0,0,Calhoun,AL
01015001000,1,100,Calhoun,AL
01015001700,1,100,Calhoun,AL
01015002501,1,39.39724533,Calhoun,AL
01015001800,1,100,Calhoun,AL
01017954400,1,100,Chambers,AL
01017954600,1,100,Chambers,AL
01017953900,1,100,Chambers,AL
01017954500,1,100,Chambers,AL
01017954200,1,100,Chambers,AL
01017954700,1,100,Chambers,AL
01017954000,1,100,Chambers,AL
01017954300,1,100,Chambers,AL
01017953800,1,100,Chambers,AL
01019955701,1,100,Cherokee,AL
01019955702,1,100,Cherokee,AL
01019955900,1,100,Cherokee,AL
01019955800,1,100,Cherokee,AL
01019956000,1,100,Cherokee,AL
01019956100,1,100,Cherokee,AL
01021060300,1,100,Chilton,AL
01021060500,1,100,Chilton,AL
01021060200,1,100,Chilton,AL
01021060401,1,100,Chilton,AL
01021060600,1,100,Chilton,AL
01021060700,1,100,Chilton,AL
01021060101,1,100,Chilton,AL
01021060102,1,100,Chilton,AL
01021060402,1,100,Chilton,AL
01023957000,1,100,Choctaw,AL
01023956900,1,100,Choctaw,AL
01023956700,1,100,Choctaw,AL
01023956800,1,100,Choctaw,AL
01025957700,1,100,Clarke,AL
01025957601,1,100,Clarke,AL
01025957500,1,100,Clarke,AL
01025957902,1,100,Clarke,AL
01025958001,1,100,Clarke,AL
01025958002,1,100,Clarke,AL
01025957602,1,100,Clarke,AL
01025957800,1,100,Clarke,AL
01025957901,1,100,Clarke,AL
01027958900,1,100,Clay,AL
01027959000,1,100,Clay,AL
01027959100,0,0,Clay,AL
01027959200,1,75.23464164,Clay,AL
01029959600,1,100,Cleburne,AL
01029959500,1,100,Cleburne,AL
01029959700,1,100,Cleburne,AL
01029959800,1,100,Cleburne,AL
01031010200,1,100,Coffee,AL
01031010700,1,100,Coffee,AL
01031010600,1,100,Coffee,AL
01031010100,1,100,Coffee,AL
01031010800,1,85.35739419,Coffee,AL
01031010400,1,100,Coffee,AL
01031010500,1,100,Coffee,AL
01031010300,1,100,Coffee,AL
01031011100,1,100,Coffee,AL
01031010900,1,100,Coffee,AL
01031011000,1,100,Coffee,AL
01031011300,1,100,Coffee,AL
01031011201,0,0,Coffee,AL
01031011202,1,100,Coffee,AL
01033020400,0,1.90E-13,Colbert,AL
01033020300,1,100,Colbert,AL
01033020200,1,100,Colbert,AL
01033020100,1,100,Colbert,AL
01033020600,1,100,Colbert,AL
01033020901,1,100,Colbert,AL
01033020802,1,100,Colbert,AL
01033020801,1,100,Colbert,AL
01033020902,1,100,Colbert,AL
01033021000,1,100,Colbert,AL
01033020704,1,100,Colbert,AL
01033020703,1,100,Colbert,AL
01033020701,1,8.513233232,Colbert,AL
01033020500,1,100,Colbert,AL
01035960300,1,100,Conecuh,AL
01035960500,1,100,Conecuh,AL
01035960200,1,100,Conecuh,AL
01035960600,1,100,Conecuh,AL
01035960400,1,100,Conecuh,AL
01037961100,1,100,Coosa,AL
01037961000,1,100,Coosa,AL
01037961200,1,100,Coosa,AL
01039962900,0,6.68E-13,Covington,AL
01039962500,1,100,Covington,AL
01039962700,1,100,Covington,AL
01039962100,1,100,Covington,AL
01039962600,1,100,Covington,AL
01039962800,1,100,Covington,AL
01039961900,1,100,Covington,AL
01039962400,1,100,Covington,AL
01039961800,1,100,Covington,AL
01039962000,1,100,Covington,AL
01039962300,1,43.50935425,Covington,AL
01039961600,1,100,Covington,AL
01039961700,1,100,Covington,AL
01039963000,1,100,Covington,AL
01041963800,1,100,Crenshaw,AL
01041963900,1,100,Crenshaw,AL
01041963400,1,100,Crenshaw,AL
01041963600,1,100,Crenshaw,AL
01041963500,1,100,Crenshaw,AL
01041963700,1,100,Crenshaw,AL
01043965200,1,100,Cullman,AL
01043965600,0,0,Cullman,AL
01043965401,1,100,Cullman,AL
01043964800,1,100,Cullman,AL
01043964600,1,100,Cullman,AL
01043964500,1,100,Cullman,AL
01043965300,1,100,Cullman,AL
01043965700,1,100,Cullman,AL
01043964300,1,100,Cullman,AL
01043964700,1,100,Cullman,AL
01043965402,1,100,Cullman,AL
01043965000,1,100,Cullman,AL
01043964400,1,100,Cullman,AL
01043965100,1,100,Cullman,AL
01043964900,1,100,Cullman,AL
01043964200,1,100,Cullman,AL
01043964100,1,100,Cullman,AL
01043965500,1,17.49763525,Cullman,AL
01045020200,1,100,Dale,AL
01045020500,1,100,Dale,AL
01045020400,1,100,Dale,AL
01045020300,1,100,Dale,AL
01045021300,1,100,Dale,AL
01045021200,1,100,Dale,AL
01045021102,1,100,Dale,AL
01045021400,1,100,Dale,AL
01045020801,1,100,Dale,AL
01045020100,1,100,Dale,AL
01045020000,1,100,Dale,AL
01045021101,1,100,Dale,AL
01045020802,1,100,Dale,AL
01045020700,1,100,Dale,AL
01047957100,1,100,Dallas,AL
01047957200,1,100,Dallas,AL
01047956702,1,100,Dallas,AL
01047956701,1,100,Dallas,AL
01047956202,1,100,Dallas,AL
01047957000,1,100,Dallas,AL
01047956201,1,100,Dallas,AL
01047956900,1,100,Dallas,AL
01047956300,1,100,Dallas,AL
01047956600,1,100,Dallas,AL
01047956500,1,100,Dallas,AL
01047956800,1,100,Dallas,AL
01047957300,1,100,Dallas,AL
01047956400,1,100,Dallas,AL
01047956100,1,100,Dallas,AL
01049961200,1,100,DeKalb,AL
01049960900,1,100,DeKalb,AL
01049960200,1,100,DeKalb,AL
01049961000,1,100,DeKalb,AL
01049961400,1,100,DeKalb,AL
01049961300,1,100,DeKalb,AL
01049960300,1,100,DeKalb,AL
01049961100,1,100,DeKalb,AL
01049960500,1,100,DeKalb,AL
01049960800,1,100,DeKalb,AL
01049960400,1,100,DeKalb,AL
01049960100,1,100,DeKalb,AL
01049960600,1,100,DeKalb,AL
01049960700,1,100,DeKalb,AL
01051031200,1,100,Elmore,AL
01051030702,0,0,Elmore,AL
01051030300,1,100,Elmore,AL
01051030902,1,100,Elmore,AL
01051030500,1,100,Elmore,AL
01051031100,1,14.35167924,Elmore,AL
01051030901,0,0,Elmore,AL
01051030701,0,0,Elmore,AL
01051030800,1,100,Elmore,AL
01051030200,1,100,Elmore,AL
01051031300,1,100,Elmore,AL
01051030600,1,100,Elmore,AL
01051030100,1,100,Elmore,AL
01051031000,1,100,Elmore,AL
01051030400,1,100,Elmore,AL
01053970200,1,100,Escambia,AL
01053970300,1,100,Escambia,AL
01053970100,1,100,Escambia,AL
01053969900,1,100,Escambia,AL
01053970700,1,100,Escambia,AL
01053970400,1,100,Escambia,AL
01053969800,1,100,Escambia,AL
01053970600,1,100,Escambia,AL
01053970500,1,100,Escambia,AL
01055010501,0,1.89E-13,Etowah,AL
01055000700,1,100,Etowah,AL
01055010900,1,100,Etowah,AL
01055000800,1,100,Etowah,AL
01055000600,1,100,Etowah,AL
01055010300,1,100,Etowah,AL
01055010800,1,100,Etowah,AL
01055001700,1,100,Etowah,AL
01055000500,1,100,Etowah,AL
01055010700,1,100,Etowah,AL
01055010200,1,100,Etowah,AL
01055010100,1,100,Etowah,AL
01055010602,1,37.4252701,Etowah,AL
01055000900,1,100,Etowah,AL
01055001000,1,100,Etowah,AL
01055010502,0,0,Etowah,AL
01055000400,0,0,Etowah,AL
01055010402,1,100,Etowah,AL
01055010401,1,100,Etowah,AL
01055011001,1,100,Etowah,AL
01055000200,1,100,Etowah,AL
01055011200,1,100,Etowah,AL
01055011002,1,100,Etowah,AL
01055000300,1,100,Etowah,AL
01055001600,1,100,Etowah,AL
01055001300,1,100,Etowah,AL
01055001100,0,0,Etowah,AL
01055001200,1,100,Etowah,AL
01055010601,1,100,Etowah,AL
01055011100,1,100,Etowah,AL
01057020000,1,100,Fayette,AL
01057020400,1,100,Fayette,AL
01057020100,1,100,Fayette,AL
01057020300,1,100,Fayette,AL
01057020200,1,100,Fayette,AL
01059973600,1,100,Franklin,AL
01059973100,1,100,Franklin,AL
01059973500,1,100,Franklin,AL
01059973400,1,100,Franklin,AL
01059973700,1,100,Franklin,AL
01059972900,1,100,Franklin,AL
01059973300,1,100,Franklin,AL
01059973000,1,100,Franklin,AL
01059973200,1,100,Franklin,AL
01061050200,1,100,Geneva,AL
01061050300,1,100,Geneva,AL
01061050600,1,100,Geneva,AL
01061050100,1,100,Geneva,AL
01061050500,1,100,Geneva,AL
01061050400,1,100,Geneva,AL
